episodes_trained,learning_method,player,avg_trajectory_value
300000,MC,X,4.74378
300000,Q-LearningO,7.71838
300000,Q-LearningX,8.69903
400000,MC,O,-0.723428
400000,MC,X,4.63133
400000,Q-LearningO,5.7355
400000,Q-LearningX,8.75161
500000,MC,O,0.506975
500000,MC,X,3.94463
500000,Q-LearningO,8.97392
500000,Q-LearningX,3.56761
600000,MC,O,-0.203619
600000,MC,X,4.02383
600000,Q-LearningO,5.56824
600000,Q-LearningX,8.72492
700000,MC,O,-1.73262
700000,MC,X,5.49844
700000,Q-LearningO,6.63617
700000,Q-LearningX,4.97099
800000,MC,O,-1.41705
800000,MC,X,5.58705
800000,Q-LearningO,5.21581
800000,Q-LearningX,8.73999
900000,MC,O,-1.14715
900000,MC,X,4.77545
900000,Q-LearningO,6.60803
900000,Q-LearningX,5.42401
1000000,MC,O,0.595694
1000000,MC,X,3.79299
1000000,Q-LearningO,7.62976
1000000,Q-LearningX,8.72748
1100000,MC,O,-0.245534
1100000,MC,X,4.23578
1100000,Q-LearningO,6.4282
1100000,Q-LearningX,4.54367
2000000,MC,O,-0.547391
2000000,MC,X,4.29339
2000000,Q-LearningO,6.76111
2000000,Q-LearningX,5.66025
3000000,MC,O,-1.17928
3000000,MC,X,5.26401
3000000,Q-LearningO,6.66155
3000000,Q-LearningX,4.3406
4000000,MC,O,-0.895975
4000000,MC,X,4.88269
4000000,Q-LearningO,6.51611
4000000,Q-LearningX,4.48386
5000000,MC,O,-0.431223
5000000,MC,X,4.20603
5000000,Q-LearningO,5.4501
5000000,Q-LearningX,8.7218
6000000,MC,O,-0.441276
6000000,MC,X,4.72063
6000000,Q-LearningO,4.24789
6000000,Q-LearningX,8.76112
7000000,MC,O,0.301984
7000000,MC,X,3.61024
7000000,Q-LearningO,3.28849
7000000,Q-LearningX,8.71314
8000000,MC,O,-1.50638
8000000,MC,X,5.70704
8000000,Q-LearningO,6.52601
8000000,Q-LearningX,5.20114
9000000,MC,O,-0.255508
9000000,MC,X,4.42295
9000000,Q-LearningO,7.32782
9000000,Q-LearningX,8.72356
10000000,MC,O,-0.794486
10000000,MC,X,4.77947
10000000,Q-LearningO,6.50281
10000000,Q-LearningX,5.00733
